longitude,latitude,median_income,kmeans_cluster,dbscan_cluster
-122.23,37.88,8.3252,1,0
-122.22,37.86,8.3014,1,0
-122.24,37.85,7.2574,1,0
-122.25,37.85,5.6431,1,0
-122.25,37.85,3.8462,1,0
-122.25,37.85,4.0368,1,0
-122.25,37.84,3.6591,1,0
-122.25,37.84,3.12,1,0
-122.26,37.84,2.0804,1,0
-122.25,37.84,3.6912,1,0
-122.26,37.85,3.2031,1,0
-122.26,37.85,3.2705,1,0
-122.26,37.85,3.075,1,0
-122.26,37.84,2.6736,1,0
-122.26,37.85,1.9167,1,0
-122.26,37.85,2.125,1,0
-122.27,37.85,2.775,1,0
-122.27,37.85,2.1202,1,0
-122.26,37.84,1.9911,1,0
-122.27,37.84,2.6033,1,0
-122.27,37.85,1.3578,1,0
-122.27,37.85,1.7135,1,0
-122.27,37.84,1.725,1,0
-122.27,37.84,2.1806,1,0
-122.27,37.84,2.6,1,0
-122.28,37.85,2.4038,1,0
-122.28,37.85,2.4597,1,0
-122.28,37.85,1.808,1,0
-122.28,37.84,1.6424,1,0
-122.28,37.84,1.6875,1,0
-122.28,37.84,1.9274,1,0
-122.28,37.84,1.9615,1,0
-122.27,37.84,1.7969,1,0
-122.27,37.83,1.375,1,0
-122.27,37.83,2.7303,1,0
-122.27,37.83,1.4861,1,0
-122.27,37.83,1.0972,1,0
-122.28,37.83,1.4103,1,0
-122.26,37.83,3.48,1,0
-122.26,37.83,2.5898,1,0
-122.26,37.83,2.0978,1,0
-122.26,37.83,1.2852,1,0
-122.26,37.84,1.025,1,0
-122.26,37.84,3.9643,1,0
-122.26,37.83,3.0125,1,0
-122.26,37.83,2.6768,1,0
-122.26,37.83,2.026,1,0
-122.27,37.82,1.7348,1,0
-122.26,37.82,0.9506,1,0
-122.27,37.82,1.775,1,0
-122.27,37.82,0.9218,1,0
-122.27,37.82,1.5045,1,0
-122.27,37.82,1.1108,1,0
-122.27,37.82,1.2475,1,0
-122.28,37.82,1.6098,1,0
-122.28,37.82,1.4113,1,0
-122.28,37.82,1.5057,1,0
-122.28,37.82,0.8172,1,0
-122.28,37.82,1.2171,1,0
-122.29,37.82,2.5625,1,0
-122.29,37.83,3.3929,1,0
-122.29,37.82,6.1183,1,0
-122.29,37.81,0.9011,1,0
-122.3,37.81,1.191,1,0
-122.3,37.81,2.5938,1,0
-122.3,37.81,1.1667,1,0
-122.3,37.81,0.8056,1,0
-122.29,37.8,2.6094,1,0
